"Datum","Open","High","Close","Low","Barva","Skok"
"yyyy-MM-dd hh:mm:ss","no","no","no","no","RGB","0/1"
2014-05-01 00:00:00,1.64,1.66,1.66,1.62,-16711936,0
2014-05-01 00:00:30,1.66,1.66,1.64,1.64,-65536,1
2014-05-01 00:01:00,1.64,1.64,1.62,1.62,-65536,0
2014-05-01 00:01:30,1.62,1.63,1.60,1.60,-65536,0
2014-05-01 00:02:00,1.60,1.61,1.55,1.53,-65536,0
2014-05-01 00:02:30,1.55,1.59,1.58,1.55,-16711936,1
2014-05-01 00:03:00,1.58,1.62,1.62,1.58,-16711936,0
2014-05-01 00:03:30,1.62,1.66,1.66,1.62,-16711936,0
2014-05-01 00:04:00,1.66,1.68,1.64,1.64,-65536,1
2014-05-01 00:04:30,1.64,1.65,1.65,1.64,-16711936,1
2014-05-01 00:05:00,1.64,1.64,1.64,1.64,-16777216,0
2014-05-01 00:05:30,1.64,1.64,1.60,1.60,-65536,1
2014-05-01 00:06:00,1.60,1.62,1.56,1.54,-65536,0
2014-05-01 00:06:30,1.56,1.56,1.52,1.52,-65536,0
2014-05-01 00:07:00,1.52,1.55,1.54,1.50,-16711936,1
2014-05-01 00:07:30,1.54,1.56,1.56,1.52,-16711936,0
2014-05-01 00:08:00,1.56,1.59,1.58,1.55,-16711936,0
2014-05-01 00:08:30,1.58,1.61,1.60,1.58,-16711936,0
2014-05-01 00:09:00,1.60,1.66,1.62,1.60,-16711936,0
2014-05-01 00:09:30,1.62,1.64,1.63,1.61,-16711936,0
